epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,388.835,2.37754,2.15978,1.22437,0.53853,0.56192,0.5363,0.27829,1.86556,1.46669,1.12689,0.000416525,0.000416525,0.000416525
2,754.717,2.15885,1.58829,1.1504,0.5914,0.63189,0.59478,0.32737,1.78513,1.39491,1.10539,0.000824999,0.000824999,0.000824999
3,1118.19,2.09103,1.5006,1.12903,0.67355,0.65051,0.66825,0.38153,1.73436,1.30612,1.09482,0.00120123,0.00120123,0.00120123
4,1482.43,2.04569,1.43461,1.11484,0.67971,0.66268,0.68384,0.39313,1.71093,1.2721,1.0766,0.00114257,0.00114257,0.00114257
5,1847.02,2.01608,1.39701,1.10337,0.72003,0.65074,0.70335,0.41055,1.68991,1.23494,1.07212,0.00106389,0.00106389,0.00106389
6,2233.47,1.7113,1.19865,1.1397,0.74272,0.67961,0.72877,0.43869,1.6377,1.18142,1.0605,0.00096875,0.00096875,0.00096875
7,2587.44,1.67055,1.1508,1.12628,0.74817,0.67494,0.73492,0.44598,1.60944,1.16876,1.05245,0.000861322,0.000861322,0.000861322
8,2941.8,1.63208,1.10888,1.11404,0.77295,0.6832,0.75201,0.45695,1.59724,1.12877,1.0441,0.000746297,0.000746297,0.000746297
9,3297.53,1.59882,1.07543,1.10515,0.79164,0.68646,0.77337,0.47901,1.55819,1.09919,1.03756,0.000628703,0.000628703,0.000628703
10,3654.31,1.57847,1.04655,1.0952,0.80814,0.69534,0.78075,0.48986,1.54701,1.08271,1.02865,0.000513678,0.000513678,0.000513678
11,4009.62,1.55337,1.02396,1.08927,0.8092,0.72183,0.80016,0.50781,1.51331,1.05021,1.01998,0.00040625,0.00040625,0.00040625
12,4367.67,1.54144,1.00842,1.08462,0.8123,0.72594,0.80725,0.51439,1.50394,1.04525,1.01799,0.000311114,0.000311114,0.000311114
13,4723.14,1.52338,0.99262,1.07773,0.82793,0.73369,0.81444,0.52471,1.48671,1.01984,1.01452,0.000232428,0.000232428,0.000232428
14,5079.42,1.50494,0.97697,1.07307,0.83366,0.7328,0.82095,0.53011,1.47911,1.01377,1.01315,0.000173631,0.000173631,0.000173631
15,5446.21,1.49746,0.96686,1.06816,0.83666,0.74122,0.82506,0.53347,1.47053,1.00512,1.00977,0.000137292,0.000137292,0.000137292
